time,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L
2020-06-23,0.3159,79.910845,-24.081561,0.3938
2020-06-24,0.2972,79.910844,-24.081564,0.7794
2020-06-25,0.2858,79.910845,-24.081558,0.3806
2020-06-26,0.269,79.910844,-24.08155,0.7154
2020-06-27,0.2815,79.910846,-24.081556,0.6613
2020-06-28,0.2964,79.910843,-24.081556,0.1229
2020-06-29,0.2783,79.910845,-24.081553,0.0
2020-06-30,0.2683,79.910842,-24.081549,0.0
2020-07-01,0.252,79.910843,-24.081545,0.1189
2020-07-02,0.285,79.91084,-24.081538,0.7977
2020-07-03,0.2947,79.91084,-24.081542,0.7382
2020-07-04,0.3755,79.910839,-24.081533,0.9436
2020-07-05,0.3997,79.910837,-24.081528,0.7089
2020-07-06,0.2659,79.910839,-24.081529,0.8224
2020-07-07,0.2466,79.910839,-24.081521,0.4673
2020-07-08,0.2556,79.910839,-24.08152,0.3437
2020-07-09,0.2716,79.910838,-24.08152,0.7337
2020-07-10,0.2631,79.910838,-24.081511,0.7908
2020-07-11,0.2763,79.910839,-24.081505,0.497
2020-07-12,0.272,79.910839,-24.081507,0.9142
2020-07-13,0.3135,79.91084,-24.081512,0.9593
2020-07-14,0.3009,79.910841,-24.081515,0.6356
2020-07-15,0.2917,79.910839,-24.081512,0.001
2020-07-16,0.2625,79.910838,-24.081491,0.3612
2020-07-17,0.2528,79.910837,-24.081494,0.2656
2020-07-18,0.2509,79.910836,-24.081485,0.3145
2020-07-19,0.2546,79.910835,-24.081475,0.6439
2020-07-20,0.2666,79.910834,-24.081489,0.6849
2020-07-21,0.2757,79.910833,-24.081486,0.5081
2020-07-22,0.2643,79.910834,-24.081477,0.6173
2020-07-23,0.2541,79.910832,-24.081469,0.6458
2020-07-24,0.26,79.910832,-24.08147,0.1528
2020-07-25,0.2531,79.910831,-24.081464,0.1843
2020-07-26,0.2549,79.910832,-24.081471,0.9404
2020-07-27,0.2418,79.910829,-24.081468,0.386
2020-07-28,0.2468,79.910829,-24.081464,0.5256
2020-07-29,0.2668,79.910828,-24.081471,0.6348
2020-07-30,0.2577,79.910831,-24.081471,0.0462
2020-07-31,0.2608,79.910831,-24.081454,0.9398
2020-08-01,0.27,79.91083,-24.081454,0.3383
2020-08-02,0.282,79.910828,-24.081461,0.099
2020-08-03,0.2893,79.910828,-24.081455,0.0
2020-08-04,0.3034,79.91083,-24.081456,0.177
2020-08-05,0.2866,79.910828,-24.081464,0.0602
2020-08-06,0.2746,79.910828,-24.081465,0.0133
2020-08-07,0.2625,79.910828,-24.081459,0.5158
2020-08-08,0.2523,79.910827,-24.081465,0.9649
2020-08-09,0.2915,79.910827,-24.081467,0.9995
2020-08-10,0.2961,79.910828,-24.081472,0.9956
2020-08-11,0.2959,79.910826,-24.081462,0.8942
2020-08-12,0.3313,79.910827,-24.081463,0.9798
2020-08-13,0.3201,79.910825,-24.081465,0.9186
2020-08-14,0.3228,79.910825,-24.08146,0.9619
2020-08-15,0.2841,79.910824,-24.081459,0.546
2020-08-16,0.2885,79.910828,-24.081461,0.4861
2020-08-17,0.3069,79.910827,-24.081464,0.8229
2020-08-18,0.2904,79.910826,-24.081456,0.8819
2020-08-19,0.2825,79.910823,-24.081458,0.5779
2020-08-20,0.283,79.910824,-24.08146,0.8531
2020-08-21,0.2742,79.910824,-24.081458,0.2331
2020-08-22,0.2792,79.910826,-24.081462,0.5042
2020-08-23,0.2732,79.910825,-24.081464,0.0333
2020-08-24,0.294,79.910824,-24.08146,0.0671
2020-08-25,0.3038,79.910825,-24.081464,0.0254
2020-08-26,0.2999,79.910824,-24.081462,0.0235
2021-05-01,0.492,79.910823,-24.08129,0.0048
2021-05-02,0.4936,79.910824,-24.081293,0.0068
2021-05-03,0.5247,79.910823,-24.081291,0.2969
2021-05-04,0.5265,79.910823,-24.081285,0.6254
2021-05-05,0.5059,79.910824,-24.08128,0.1232
2021-05-06,0.5033,79.910823,-24.08128,0.0452
2021-05-07,0.5028,79.910822,-24.081279,0.0497
2021-05-08,0.5092,79.910823,-24.081271,0.267
2021-05-09,0.4987,79.910821,-24.081281,0.1411
2021-05-10,0.4986,79.910822,-24.081286,0.0135
2021-05-11,0.495,79.910821,-24.081279,0.0024
2021-05-12,0.4965,79.910822,-24.081287,0.0
2021-05-13,0.5016,79.910824,-24.081294,0.0019
2021-05-14,0.5023,79.910824,-24.081288,0.0
2021-05-15,0.5008,79.910823,-24.081293,0.0029
2021-05-16,0.5033,79.910822,-24.081291,0.0
2021-05-17,0.5061,79.910825,-24.081283,0.0
2021-05-18,0.5041,79.910823,-24.081287,0.0
2021-05-19,0.5021,79.910826,-24.081285,0.0231
